"Time.sec.","Intensity"
6494,99.186
6496,99.15
6498,99.216
6500,99.283
6502,99.349
6504,99.166
6506,98.983
6508,98.8
6510,98.912
6512,99.023
6514,99.135
6516,98.913
6518,98.692
6520,98.47
6522,98.413
6524,98.356
6526,98.299
6528,98.445
6530,98.592
6532,98.738
6534,98.593
6536,98.447
6538,98.302
6540,98.261
6542,98.22
6544,98.179
6546,98.219
6548,98.26
6550,98.3
6552,98.256
6554,98.211
6556,98.167
6558,98.298
6560,98.428
6562,98.559
6564,98.372
6566,98.186
6568,97.999
6570,98.034
6572,98.07
6574,98.105
6576,98.049
6578,97.992
6580,97.936
6582,97.893
6584,97.849
6586,97.806
6588,97.841
6590,97.877
6592,97.912
6594,97.91
6596,97.907
6598,97.905
6600,97.816
6602,97.727
6604,97.638
6606,97.622
6608,97.607
6610,97.591
6612,97.652
6614,97.713
6616,97.774
6618,97.836
6620,97.897
6622,97.959
6624,97.873
6626,97.787
6628,97.701
6630,97.665
6632,97.628
6634,97.592
6636,97.538
6638,97.483
6640,97.429
6642,97.275
6644,97.121
6646,96.967
6648,96.971
6650,96.974
6652,96.978
6654,97.162
6656,97.346
6658,97.53
6660,97.461
6662,97.391
6664,97.322
6666,97.3
6668,97.277
6670,97.255
6672,97.308
6674,97.36
6676,97.413
6678,97.381
6680,97.35
6682,97.318
6684,97.324
6686,97.331
6688,97.337
6690,97.269
6692,97.2
6694,97.132
6696,97.012
6698,96.891
6700,96.771
6702,96.783
6704,96.795
6706,96.807
6708,96.708
6710,96.61
6712,96.511
6714,96.449
6716,96.388
6718,96.326
6720,96.36
6722,96.394
6724,96.428
6726,96.411
6728,96.394
6730,96.377
6732,96.371
6734,96.365
6736,96.359
6738,96.292
6740,96.224
6742,96.157
6744,96.181
6746,96.205
6748,96.229
6750,96.225
6752,96.22
6754,96.216
6756,96.197
6758,96.178
6760,96.159
6762,96.243
6764,96.328
6766,96.412
6768,96.363
6770,96.313
6772,96.264
6774,96.085
6776,95.906
6778,95.727
6780,95.613
6782,95.499
6784,95.385
6786,95.485
6788,95.586
6790,95.686
6792,95.525
6794,95.363
6796,95.202
6798,95.278
6800,95.355
6802,95.431
6804,95.473
6806,95.515
6808,95.557
6810,95.542
6812,95.526
6814,95.511
6816,95.576
6818,95.641
6820,95.706
6822,95.773
6824,95.841
6826,95.908
6828,95.682
6830,95.457
6832,95.231
6834,95.316
6836,95.401
6838,95.486
6840,95.391
6842,95.296
6844,95.201
6846,95.215
6848,95.229
6850,95.243
6852,95.35
6854,95.458
6856,95.565
6858,95.335
6860,95.105
6862,94.875
6864,94.888
6866,94.902
6868,94.915
6870,94.98
6872,95.046
6874,95.111
6876,95.192
6878,95.272
6880,95.353
6882,95.235
6884,95.116
6886,94.998
6888,94.896
6890,94.795
6892,94.693
6894,94.62
6896,94.547
6898,94.474
6900,94.543
7200,94.69
7202,94.69
7204,94.69
7206,94.85
7208,95.009
7210,95.169
7212,95.203
7214,95.236
7216,95.27
7218,95.055
7220,94.84
7222,94.625
7224,94.589
7226,94.552
7228,94.516
7230,94.514
7232,94.513
7234,94.511
7236,94.516
7238,94.521
7240,94.526
7242,94.511
7244,94.497
7246,94.482
7248,94.492
7250,94.503
7252,94.513
7254,94.528
7256,94.543
7258,94.558
7260,94.277
7262,93.995
7264,93.714
7266,93.738
7268,93.761
7270,93.785
7272,93.942
7274,94.099
7276,94.256
7278,94.049
7280,93.842
7282,93.635
7284,93.795
7286,93.956
7288,94.116
7290,94.128
7292,94.141
7294,94.153
7296,94.163
7298,94.174
7300,94.184
7302,94.001
7304,93.819
7306,93.636
7308,93.76
7310,93.883
7312,94.007
7314,94.037
7316,94.068
7318,94.098
7320,93.951
7322,93.803
7324,93.656
7326,93.619
7328,93.583
7330,93.546
7332,93.538
7334,93.53
7336,93.522
7338,93.551
7340,93.581
7342,93.61
7344,93.6
7346,93.59
7348,93.58
7350,93.58
7352,93.579
7354,93.579
7356,93.488
7358,93.396
7360,93.305
7362,93.151
7364,92.996
7366,92.842
7368,92.985
7370,93.127
7372,93.27
7374,93.19
7376,93.111
7378,93.031
7380,93.027
7382,93.024
7384,93.02
7386,93.007
7388,92.994
7390,92.981
7392,93.015
7394,93.048
7396,93.082
7398,93.084
7400,93.087
7402,93.089
7404,93.041
7406,92.992
7408,92.944
7410,92.827
7412,92.709
7414,92.592
7416,92.505
7418,92.418
7420,92.331
7422,92.337
7424,92.343
7426,92.349
7428,92.496
7430,92.644
7432,92.791
7434,92.883
7436,92.974
7438,93.066
7440,92.931
7442,92.797
7444,92.662
7446,92.463
7448,92.263
7450,92.064
7452,92.156
7454,92.249
7456,92.341
7458,92.274
7460,92.206
7462,92.139
7464,92.123
7466,92.108
7468,92.092
7470,92.199
7472,92.306
7474,92.413
7476,92.273
7478,92.132
7480,91.992
7482,92.027
7484,92.061
7486,92.096
7488,92.1
7490,92.103
7492,92.107
7494,91.99
7496,91.873
7498,91.756
7500,91.907
7502,92.058
7504,92.209
7506,92.08
7508,91.95
7510,91.821
7512,91.815
7514,91.808
7516,91.802
7518,91.877
7520,91.952
7522,92.027
7524,91.936
7526,91.845
7528,91.754
7530,91.668
7532,91.582
7534,91.496
7536,91.591
7538,91.687
7540,91.782
7542,91.58
7544,91.377
7546,91.175
7548,91.25
7550,91.326
7552,91.401
7554,91.349
7556,91.297
7558,91.245
7560,91.326
7562,91.408
7564,91.489
7566,91.574
7568,91.659
7570,91.744
7572,91.499
7574,91.254
7576,91.009
7578,91.053
7580,91.096
7582,91.14
7584,91.055
7586,90.969
7588,90.884
7590,90.928
7592,90.973
7594,91.017
7596,91.072
7598,91.127
7600,91.182
7602,91.203
7604,91.223
7606,91.244
7608,91.188
7610,91.133
7612,91.077
7614,91.147
7616,91.218
7618,91.288
7620,91.301
7622,91.314
7624,91.327
7626,91.286
7628,91.245
7630,91.204
7632,91.222
7634,91.239
7636,91.257
7638,91.231
7640,91.205
7642,91.179
7644,90.976
7646,90.774
7648,90.571
7650,90.827
7652,91.084
7654,91.34
7656,91.163
7658,90.987
7660,90.81
7662,90.832
7664,90.853
7666,90.875
7668,90.89
7670,90.906
7672,90.921
7674,90.792
7676,90.662
7678,90.533
7680,90.709
7682,90.885
7684,91.061
7686,90.915
7688,90.768
7690,90.622
7692,90.687
7694,90.753
7696,90.818
7698,90.803
7700,90.788
7702,90.773
7704,90.597
7706,90.421
7708,90.245
7710,90.18
7712,90.115
7714,90.05
7716,90.196
7718,90.343
7720,90.489
7722,90.413
7724,90.338
7726,90.262
7728,90.442
7730,90.621
7732,90.801
7734,90.381
7736,89.962
7738,89.542
7740,89.801
7742,90.059
7744,90.318
7746,90.323
7748,90.329
7750,90.334
7752,90.128
7754,89.922
7756,89.716
7758,89.685
7760,89.654
7762,89.623
7764,89.761
7766,89.899
7768,90.037
7770,89.982
7772,89.928
7774,89.873
7776,89.962
7778,90.051
7780,90.14
7782,90.162
7784,90.183
7786,90.205
7788,90.152
7790,90.1
7792,90.047
7794,90.046
7796,90.044
7798,90.043
7800,89.938
8100,90.975
8102,90.975
8104,90.975
8106,90.882
8108,90.788
8110,90.695
8112,90.63
8114,90.566
8116,90.501
8118,90.606
8120,90.711
8122,90.816
8124,90.588
8126,90.36
8128,90.132
8130,90.253
8132,90.373
8134,90.494
8136,90.403
8138,90.312
8140,90.221
8142,90.314
8144,90.408
8146,90.501
8148,90.366
8150,90.23
8152,90.095
8154,90.181
8156,90.268
8158,90.354
8160,90.366
8162,90.377
8164,90.389
8166,90.324
8168,90.26
8170,90.195
8172,90.191
8174,90.188
8176,90.184
8178,90.256
8180,90.328
8182,90.4
8184,90.334
8186,90.269
8188,90.203
8190,90.279
8192,90.356
8194,90.432
8196,90.178
8198,89.925
8200,89.671
8202,89.776
8204,89.88
8206,89.985
8208,89.962
8210,89.939
8212,89.916
8214,89.757
8216,89.599
8218,89.44
8220,89.524
8222,89.608
8224,89.692
8226,89.76
8228,89.828
8230,89.896
8232,89.869
8234,89.843
8236,89.816
8238,89.76
8240,89.704
8242,89.648
8244,89.649
8246,89.649
8248,89.65
8250,89.867
8252,90.083
8254,90.3
8256,90.008
8258,89.717
8260,89.425
8262,89.457
8264,89.489
8266,89.521
8268,89.582
8270,89.642
8272,89.703
8274,89.564
8276,89.424
8278,89.285
8280,89.234
8282,89.183
8284,89.132
8286,89.153
8288,89.175
8290,89.196
8292,89.275
8294,89.353
8296,89.432
8298,89.364
8300,89.295
8302,89.227
8304,89.176
8306,89.125
8308,89.074
8310,89.349
8312,89.623
8314,89.898
8316,89.866
8318,89.835
8320,89.803
8322,89.634
8324,89.464
8326,89.295
8328,89.212
8330,89.13
8332,89.047
8334,89.3
8336,89.553
8338,89.806
8340,89.755
8342,89.703
8344,89.652
8346,89.678
8348,89.705
8350,89.731
8352,89.453
8354,89.176
8356,88.898
8358,89.093
8360,89.287
8362,89.482
8364,89.361
8366,89.24
8368,89.119
8370,88.987
8372,88.856
8374,88.724
8376,88.886
8378,89.047
8380,89.209
8382,89.066
8384,88.924
8386,88.781
8388,88.851
8390,88.921
8392,88.991
8394,88.922
8396,88.852
8398,88.783
8400,88.626
8402,88.47
8404,88.313
8406,88.517
8408,88.72
8410,88.924
8412,88.806
8414,88.688
8416,88.57
8418,88.646
8420,88.722
8422,88.798
8424,88.784
8426,88.771
8428,88.757
8430,88.78
8432,88.804
8434,88.827
8436,88.876
8438,88.924
8440,88.973
8442,88.848
8444,88.723
8446,88.598
8448,88.678
8450,88.758
8452,88.838
8454,88.71
8456,88.581
8458,88.453
8460,88.506
8462,88.558
8464,88.611
8466,88.683
8468,88.756
8470,88.828
8472,88.808
8474,88.789
8476,88.769
8478,88.751
8480,88.734
8482,88.716
8484,88.424
8486,88.131
8488,87.839
8490,88.017
8492,88.195
8494,88.373
8496,88.465
8498,88.556
8500,88.648
8502,88.672
8504,88.695
8506,88.719
8508,88.536
8510,88.353
8512,88.17
8514,88.265
8516,88.359
8518,88.454
8520,88.384
8522,88.315
8524,88.245
8526,88.262
8528,88.278
8530,88.295
8532,88.196
8534,88.098
8536,87.999
8538,87.974
8540,87.95
8542,87.925
8544,87.917
8546,87.909
8548,87.901
8550,87.982
8552,88.064
8554,88.145
8556,88.188
8558,88.23
8560,88.273
8562,88.112
8564,87.951
8566,87.79
8568,87.699
8570,87.609
8572,87.518
8574,87.709
8576,87.899
8578,88.09
8580,87.933
8582,87.776
8584,87.619
8586,87.564
8588,87.509
8590,87.454
8592,87.566
8594,87.678
8596,87.79
8598,87.801
8600,87.813
8602,87.824
8604,87.774
8606,87.723
8608,87.673
8610,87.732
8612,87.79
8614,87.849
8616,87.768
8618,87.687
8620,87.606
8622,87.54
8624,87.473
8626,87.407
8628,87.425
8630,87.444
8632,87.462
8634,87.576
8636,87.689
8638,87.803
8640,87.662
8642,87.522
8644,87.381
8646,87.325
8648,87.268
8650,87.212
8652,87.241
8654,87.269
8656,87.298
8658,87.207
8660,87.116
8662,87.025
8664,87.192
8666,87.36
8668,87.527
8670,87.524
8672,87.52
8674,87.517
8676,87.354
8678,87.192
8680,87.029
8682,87.23
8684,87.431
8686,87.632
8688,87.608
8690,87.583
8692,87.559
8694,87.415
8696,87.272
8698,87.128
8700,86.952
9000,88.19
9002,88.19
9004,88.19
9006,88.413
9008,88.635
9010,88.858
9012,88.704
9014,88.55
9016,88.396
9018,88.404
9020,88.412
9022,88.42
9024,88.315
9026,88.21
9028,88.105
9030,88.206
9032,88.306
9034,88.407
9036,88.389
9038,88.371
9040,88.353
9042,88.184
9044,88.015
9046,87.846
9048,87.973
9050,88.099
9052,88.226
9054,88.147
9056,88.069
9058,87.99
9060,88.128
9062,88.267
9064,88.405
9066,88.357
9068,88.308
9070,88.26
9072,88.113
9074,87.966
9076,87.819
9078,87.95
9080,88.081
9082,88.212
9084,88.181
9086,88.15
9088,88.119
9090,88.03
9092,87.942
9094,87.853
9096,87.941
9098,88.03
9100,88.118
9102,88.059
9104,88
9106,87.941
9108,87.92
9110,87.898
9112,87.877
9114,87.829
9116,87.782
9118,87.734
9120,87.82
9122,87.907
9124,87.993
9126,87.88
9128,87.767
9130,87.654
9132,87.69
9134,87.727
9136,87.763
9138,87.78
9140,87.798
9142,87.815
9144,87.719
9146,87.623
9148,87.527
9150,87.523
9152,87.519
9154,87.515
9156,87.57
9158,87.626
9160,87.681
9162,87.548
9164,87.414
9166,87.281
9168,87.465
9170,87.648
9172,87.832
9174,87.678
9176,87.523
9178,87.369
9180,87.428
9182,87.487
9184,87.546
9186,87.533
9188,87.52
9190,87.507
9192,87.521
9194,87.536
9196,87.55
9198,87.415
9200,87.281
9202,87.146
9204,87.075
9206,87.005
9208,86.934
9210,86.948
9212,86.961
9214,86.975
9216,87.126
9218,87.276
9220,87.427
9222,87.269
9224,87.112
9226,86.954
9228,87.076
9230,87.198
9232,87.32
9234,87.164
9236,87.009
9238,86.853
9240,86.824
9242,86.796
9244,86.767
9246,86.735
9248,86.704
9250,86.672
9252,86.774
9254,86.876
9256,86.978
9258,86.968
9260,86.957
9262,86.947
9264,86.934
9266,86.922
9268,86.909
9270,86.939
9272,86.968
9274,86.998
9276,86.886
9278,86.773
9280,86.661
9282,86.711
9284,86.76
9286,86.81
9288,86.707
9290,86.603
9292,86.5
9294,86.416
9296,86.333
9298,86.249
9300,86.342
9302,86.434
9304,86.527
9306,86.422
9308,86.316
9310,86.211
9312,86.222
9314,86.233
9316,86.244
9318,86.23
9320,86.217
9322,86.203
9324,86.143
9326,86.083
9328,86.023
9330,86.131
9332,86.24
9334,86.348
9336,86.415
9338,86.482
9340,86.549
9342,86.349
9344,86.149
9346,85.949
9348,85.941
9350,85.933
9352,85.925
9354,85.887
9356,85.848
9358,85.81
9360,85.799
9362,85.787
9364,85.776
9366,85.796
9368,85.815
9370,85.835
9372,85.86
9374,85.884
9376,85.909
9378,86.007
9380,86.105
9382,86.203
9384,85.905
9386,85.607
9388,85.309
9390,85.385
9392,85.462
9394,85.538
9396,85.467
9398,85.395
9400,85.324
9402,85.451
9404,85.577
9406,85.704
9408,85.637
9410,85.571
9412,85.504
9414,85.58
9416,85.656
9418,85.732
9420,85.518
9422,85.305
9424,85.091
9426,85.158
9428,85.225
9430,85.292
9432,85.357
9434,85.423
9436,85.488
9438,85.312
9440,85.136
9442,84.96
9444,84.985
9446,85.011
9448,85.036
9450,85.162
9452,85.289
9454,85.415
9456,85.398
9458,85.381
9460,85.364
9462,85.302
9464,85.24
9466,85.178
9468,85.045
9470,84.911
9472,84.778
9474,84.777
9476,84.775
9478,84.774
9480,84.832
9482,84.891
9484,84.949
9486,84.823
9488,84.697
9490,84.571
9492,84.655
9494,84.739
9496,84.823
9498,84.86
9500,84.896
9502,84.933
9504,84.789
9506,84.646
9508,84.502
9510,84.459
9512,84.417
9514,84.374
9516,84.529
9518,84.683
9520,84.838
9522,84.908
9524,84.979
9526,85.049
9528,84.803
9530,84.558
9532,84.312
9534,84.224
9536,84.135
9538,84.047
9540,84.197
9542,84.346
9544,84.496
9546,84.393
9548,84.291
9550,84.188
9552,84.315
9554,84.442
9556,84.569
9558,84.48
9560,84.392
9562,84.303
9564,84.363
9566,84.424
9568,84.484
9570,84.448
9572,84.411
9574,84.375
9576,84.227
9578,84.08
9580,83.932
9582,83.788
9584,83.643
9586,83.499
9588,83.67
9590,83.841
9592,84.012
9594,83.885
9596,83.757
9598,83.63
9600,83.706
9900,85.611
9902,85.611
9904,85.611
9906,85.535
9908,85.459
9910,85.383
9912,85.249
9914,85.116
9916,84.982
9918,84.992
9920,85.001
9922,85.011
9924,85.087
9926,85.162
9928,85.238
9930,85.145
9932,85.053
9934,84.96
9936,85
9938,85.039
9940,85.079
9942,85.014
9944,84.948
9946,84.883
9948,84.851
9950,84.819
9952,84.787
9954,84.63
9956,84.472
9958,84.315
9960,84.501
9962,84.688
9964,84.874
9966,84.788
9968,84.702
9970,84.616
9972,84.65
9974,84.684
9976,84.718
9978,84.811
9980,84.904
9982,84.997
9984,84.993
9986,84.99
9988,84.986
9990,84.935
9992,84.884
9994,84.833
9996,85.042
9998,85.25
10000,85.459
10002,85.361
10004,85.263
10006,85.165
10008,85.025
10010,84.885
10012,84.745
10014,84.767
10016,84.789
10018,84.811
10020,84.692
10022,84.574
10024,84.455
10026,84.432
10028,84.41
10030,84.387
10032,84.266
10034,84.146
10036,84.025
10038,84.096
10040,84.166
10042,84.237
10044,84.219
10046,84.201
10048,84.183
10050,84.263
10052,84.342
10054,84.422
10056,84.425
10058,84.427
10060,84.43
10062,84.169
10064,83.907
10066,83.646
10068,83.85
10070,84.053
10072,84.257
10074,84.121
10076,83.986
10078,83.85
10080,83.998
10082,84.145
10084,84.293
10086,84.317
10088,84.34
10090,84.364
10092,84.271
10094,84.178
10096,84.085
10098,83.996
10100,83.908
10102,83.819
10104,83.837
10106,83.854
10108,83.872
10110,83.915
10112,83.957
10114,84
10116,83.976
10118,83.952
10120,83.928
10122,83.978
10124,84.029
10126,84.079
10128,84.024
10130,83.969
10132,83.914
10134,83.857
10136,83.801
10138,83.744
10140,83.658
10142,83.571
10144,83.485
10146,83.664
10148,83.843
10150,84.022
10152,83.778
10154,83.534
10156,83.29
10158,83.415
10160,83.54
10162,83.665
10164,83.684
10166,83.702
10168,83.721
10170,83.647
10172,83.574
10174,83.5
10176,83.681
10178,83.861
10180,84.042
10182,83.853
10184,83.663
10186,83.474
10188,83.288
10190,83.103
10192,82.917
10194,83.056
10196,83.194
10198,83.333
10200,83.474
10202,83.616
10204,83.757
10206,83.685
10208,83.613
10210,83.541
10212,83.417
10214,83.292
10216,83.168
10218,83.15
10220,83.133
10222,83.115
10224,83.189
10226,83.264
10228,83.338
10230,83.201
10232,83.065
10234,82.928
10236,83.011
10238,83.095
10240,83.178
10242,83.159
10244,83.14
10246,83.121
10248,82.997
10250,82.872
10252,82.748
10254,82.737
10256,82.725
10258,82.714
10260,82.76
10262,82.807
10264,82.853
10266,83.054
10268,83.255
10270,83.456
10272,83.378
10274,83.3
10276,83.222
10278,82.965
10280,82.709
10282,82.452
10284,82.648
10286,82.844
10288,83.04
10290,82.948
10292,82.856
10294,82.764
10296,82.866
10298,82.969
10300,83.071
10302,83.035
10304,83
10306,82.964
10308,83.024
10310,83.085
10312,83.145
10314,83.143
10316,83.142
10318,83.14
10320,83.227
10322,83.313
10324,83.4
10326,83.089
10328,82.779
10330,82.468
10332,82.552
10334,82.635
10336,82.719
10338,82.65
10340,82.581
10342,82.512
10344,82.393
10346,82.274
10348,82.155
10350,82.248
10352,82.34
10354,82.433
10356,82.619
10358,82.805
10360,82.991
10362,82.828
10364,82.665
10366,82.502
10368,82.427
10370,82.351
10372,82.276
10374,82.41
10376,82.545
10378,82.679
10380,82.702
10382,82.725
10384,82.748
10386,82.804
10388,82.859
10390,82.915
10392,82.709
10394,82.503
10396,82.297
10398,82.292
10400,82.287
10402,82.282
10404,82.172
10406,82.061
10408,81.951
10410,82.083
10412,82.215
10414,82.347
10416,82.344
10418,82.342
10420,82.339
10422,82.394
10424,82.45
10426,82.505
10428,82.452
10430,82.4
10432,82.347
10434,82.275
10436,82.203
10438,82.131
10440,82.088
10442,82.046
10444,82.003
10446,82
10448,81.996
10450,81.993
10452,81.987
10454,81.981
10456,81.975
10458,81.977
10460,81.979
10462,81.981
10464,82.012
10466,82.042
10468,82.073
10470,81.915
10472,81.756
10474,81.598
10476,81.711
10478,81.825
10480,81.938
10482,81.928
10484,81.919
10486,81.909
10488,81.909
10490,81.908
10492,81.908
10494,81.935
10496,81.962
10498,81.989
10500,81.936
10800,83.18
10802,83.18
10804,83.18
10806,83.241
10808,83.303
10810,83.364
10812,83.396
10814,83.428
10816,83.46
10818,83.46
10820,83.461
10822,83.461
10824,83.524
10826,83.588
10828,83.651
10830,83.528
10832,83.404
10834,83.281
10836,83.228
10838,83.174
10840,83.121
10842,83.089
10844,83.057
10846,83.025
10848,83.218
10850,83.412
10852,83.605
10854,83.407
10856,83.208
10858,83.01
10860,83.053
10862,83.096
10864,83.139
10866,83.057
10868,82.975
10870,82.893
10872,82.722
10874,82.551
10876,82.38
10878,82.475
10880,82.571
10882,82.666
10884,82.547
10886,82.427
10888,82.308
10890,82.379
10892,82.45
10894,82.521
10896,82.617
10898,82.712
10900,82.808
10902,82.786
10904,82.764
10906,82.742
10908,82.902
10910,83.062
10912,83.222
10914,83.074
10916,82.927
10918,82.779
10920,82.673
10922,82.567
10924,82.461
10926,82.515
10928,82.57
10930,82.624
10932,82.524
10934,82.424
10936,82.324
10938,82.314
10940,82.303
10942,82.293
10944,82.345
10946,82.396
10948,82.448
10950,82.434
10952,82.421
10954,82.407
10956,82.338
10958,82.269
10960,82.2
10962,82.25
10964,82.3
10966,82.35
10968,82.444
10970,82.539
10972,82.633
10974,82.416
10976,82.199
10978,81.982
10980,81.978
10982,81.973
10984,81.969
10986,82.042
10988,82.114
10990,82.187
10992,82.173
10994,82.159
10996,82.145
10998,82.065
11000,81.985
11002,81.905
11004,81.921
11006,81.938
11008,81.954
11010,82.025
11012,82.097
11014,82.168
11016,81.938
11018,81.707
11020,81.477
11022,81.528
11024,81.58
11026,81.631
11028,81.626
11030,81.622
11032,81.617
