"Time_sec","MagnetsZ_mm","Extension_nm","expDetail","id"
171.604,-2,258.588,"expDetail","./sample.txt"
171.614,-2,236.835,"expDetail","./sample.txt"
171.624,-2,260.758,"expDetail","./sample.txt"
171.633,-2,211.981,"expDetail","./sample.txt"
171.644,-2,258.002,"expDetail","./sample.txt"
171.654,-2,266.592,"expDetail","./sample.txt"
171.664,-2,264.881,"expDetail","./sample.txt"
171.673,-2,244.665,"expDetail","./sample.txt"
171.683,-2,260.324,"expDetail","./sample.txt"
171.693,-2,253.946,"expDetail","./sample.txt"
171.703,-2,271.403,"expDetail","./sample.txt"
171.712,-2,234.593,"expDetail","./sample.txt"
171.722,-2,271.302,"expDetail","./sample.txt"
171.733,-2,247.922,"expDetail","./sample.txt"
171.743,-2,249.744,"expDetail","./sample.txt"
171.752,-2,260.198,"expDetail","./sample.txt"
171.762,-2,259.004,"expDetail","./sample.txt"
171.772,-2,250.657,"expDetail","./sample.txt"
171.782,-2,246.768,"expDetail","./sample.txt"
171.791,-2,271.528,"expDetail","./sample.txt"
171.801,-2,269.424,"expDetail","./sample.txt"
171.811,-2,275.304,"expDetail","./sample.txt"
171.822,-2,278.138,"expDetail","./sample.txt"
171.832,-2,236.662,"expDetail","./sample.txt"
171.841,-2,251.7,"expDetail","./sample.txt"
171.851,-2,243.804,"expDetail","./sample.txt"
171.861,-2,256.392,"expDetail","./sample.txt"
171.871,-2,227.032,"expDetail","./sample.txt"
171.88,-2,254.226,"expDetail","./sample.txt"
171.89,-2,248.165,"expDetail","./sample.txt"
171.9,-2,261.924,"expDetail","./sample.txt"
171.911,-2,247.942,"expDetail","./sample.txt"
171.92,-2,228.269,"expDetail","./sample.txt"
171.93,-2,236.21,"expDetail","./sample.txt"
171.94,-2,279.563,"expDetail","./sample.txt"
171.95,-2,263.354,"expDetail","./sample.txt"
171.959,-2,279.42,"expDetail","./sample.txt"
171.969,-2,272.315,"expDetail","./sample.txt"
171.979,-2,290.235,"expDetail","./sample.txt"
171.989,-2,240.895,"expDetail","./sample.txt"
171.999,-2,259.579,"expDetail","./sample.txt"
172.009,-2,234.286,"expDetail","./sample.txt"
172.019,-2,253.887,"expDetail","./sample.txt"
172.029,-2,250.821,"expDetail","./sample.txt"
172.039,-2,239.057,"expDetail","./sample.txt"
172.048,-2,276.431,"expDetail","./sample.txt"
172.058,-2,235.396,"expDetail","./sample.txt"
172.068,-2,263.328,"expDetail","./sample.txt"
172.078,-2,252.271,"expDetail","./sample.txt"
172.087,-2,263.999,"expDetail","./sample.txt"
172.098,-2,249.025,"expDetail","./sample.txt"
172.108,-2,243.53,"expDetail","./sample.txt"
172.118,-2,264.13,"expDetail","./sample.txt"
172.127,-2,220.452,"expDetail","./sample.txt"
172.137,-2,241.287,"expDetail","./sample.txt"
172.147,-2,261.642,"expDetail","./sample.txt"
172.157,-2,269.786,"expDetail","./sample.txt"
172.166,-2,275.581,"expDetail","./sample.txt"
172.176,-2,254.924,"expDetail","./sample.txt"
172.186,-2,279.085,"expDetail","./sample.txt"
172.196,-2,246.729,"expDetail","./sample.txt"
172.206,-2,234.048,"expDetail","./sample.txt"
172.216,-2,236.775,"expDetail","./sample.txt"
172.226,-2,257.229,"expDetail","./sample.txt"
172.236,-2,251.66,"expDetail","./sample.txt"
172.246,-2,253.345,"expDetail","./sample.txt"
172.255,-2,223.785,"expDetail","./sample.txt"
172.265,-2,245.522,"expDetail","./sample.txt"
172.275,-2,236.123,"expDetail","./sample.txt"
172.285,-2,260.378,"expDetail","./sample.txt"
172.295,-2,249.219,"expDetail","./sample.txt"
172.305,-2,245.291,"expDetail","./sample.txt"
172.315,-2,249.119,"expDetail","./sample.txt"
172.325,-2,223.69,"expDetail","./sample.txt"
172.334,-2,272.143,"expDetail","./sample.txt"
172.344,-2,252.985,"expDetail","./sample.txt"
172.354,-2,246.306,"expDetail","./sample.txt"
172.364,-2,293.508,"expDetail","./sample.txt"
172.374,-2,247.959,"expDetail","./sample.txt"
172.384,-2,277.913,"expDetail","./sample.txt"
172.394,-2,264.813,"expDetail","./sample.txt"
172.404,-2,226.399,"expDetail","./sample.txt"
172.414,-2,244.954,"expDetail","./sample.txt"
172.423,-2,272.589,"expDetail","./sample.txt"
172.433,-2,240.127,"expDetail","./sample.txt"
172.443,-2,256.967,"expDetail","./sample.txt"
172.453,-2,274.248,"expDetail","./sample.txt"
172.462,-2,226.225,"expDetail","./sample.txt"
172.472,-2,257.863,"expDetail","./sample.txt"
172.483,-2,233.375,"expDetail","./sample.txt"
172.493,-2,245.139,"expDetail","./sample.txt"
172.502,-2,259.603,"expDetail","./sample.txt"
172.512,-2,278.364,"expDetail","./sample.txt"
172.522,-2,264.105,"expDetail","./sample.txt"
172.532,-2,256.474,"expDetail","./sample.txt"
172.541,-2,264.885,"expDetail","./sample.txt"
172.551,-2,229.39,"expDetail","./sample.txt"
172.561,-2,256.874,"expDetail","./sample.txt"
172.572,-2,239.599,"expDetail","./sample.txt"
172.583,-2,283.544,"expDetail","./sample.txt"
172.591,-2,242.31,"expDetail","./sample.txt"
172.601,-2,261.876,"expDetail","./sample.txt"
172.611,-2,265.439,"expDetail","./sample.txt"
172.621,-2,269.837,"expDetail","./sample.txt"
172.63,-2,258.706,"expDetail","./sample.txt"
172.64,-2,250.138,"expDetail","./sample.txt"
172.65,-2,240.298,"expDetail","./sample.txt"
